id,num_recipients,school,school_type,state,zip_code,avg_disbursed_loan,zip_median_household_income,degree_length,room_and_board_price,in_state_tuition,out_of_state_tuition,early_career_pay_estimate,mid_career_pay_estimate,stem_percent,total_enrollment,american_indian_alaska_native_enrolled,asian_enrolled,black_enrolled,hispanic_enrolled,native_hawaiian_pacific_islander_enrolled,non_resident_foreign_enrolled,total_minority_enrolled,two_or_more_races_enrolled,unknown_enrolled,white_enrolled,women_enrolled,county_name,county_labor_force,county_employed,county_unemployed
17,110,FRANKLIN & MARSHALL COLLEGE,PRIVATE,PA,17603,2701.8673695893453,46554,4 Year,14050.0,56750,56750,,,,2209,2,101,122,177,0,300,446,44,156,1307,1131,Lancaster,267223,247816,19407
18,228,EASTERN OKLAHOMA STATE COLLEGE,PUBLIC,OK,74578,1756.0031612223393,45487,2 Year,5777.0,4697,8314,,,,1673,434,16,102,79,5,2,677,41,16,978,1121,Latimer,4562,4121,441
19,224,BEREA COLLEGE,PRIVATE,KY,40404,1347.08024691358,-,4 Year,6764.0,39990,39990,39500.0,71600.0,27.0,1621,2,26,242,95,3,125,456,88,30,1010,909,Madison,43266,39550,3716
20,229,CEDARVILLE UNIVERSITY,PRIVATE,OH,45314,3620.534591194969,51695,4 Year,7360.0,30270,30270,,,,3585,10,75,73,80,2,52,324,84,135,3074,1903,Greene,82209,74344,7865
21,516,HUMPHREYS COLLEGE,PRIVATE,CA,95207,2068.896907216495,39973,4 Year,,14292,14292,,,,809,2,51,115,297,6,82,471,0,44,212,574,San Joaquin,312104,259334,52770
22,921,FAYETTEVILLE STATE UNIVERSITY,PUBLIC,NC,28301,1942.510584250635,24113,4 Year,8236.0,4915,16523,,,,5899,156,93,3793,376,11,17,4476,47,296,1110,4102,Cumberland,131605,118405,13200
23,1165,LEWIS UNIVERSITY,PRIVATE,IL,60446,3143.234006734007,66648,4 Year,10578.0,32450,32450,49700.0,89800.0,14.0,6689,8,204,610,1043,14,93,2028,149,267,4301,4009,Will,355134,315408,39726
24,99,YESHIVA UNIVERSITY,PRIVATE,NY,10033,5319.150112866817,40625,4 Year,12250.0,43500,43500,63500.0,112800.0,11.0,6348,6,289,144,199,15,643,682,29,931,4092,3283,New York,887865,811259,76606
25,1383,UNIVERSITY OF NORTH DAKOTA,PUBLIC,ND,58202,2895.0281094527363,45250,4 Year,8974.0,8695,20759,53800.0,96000.0,16.0,14906,253,207,344,420,15,996,1643,404,499,11768,7062,Grand Forks,37939,36648,1291
26,151,WILLIAM PEACE UNIVERSITY,PRIVATE,NC,27604,2251.8561584840654,49675,4 Year,11100.0,30500,30500,,,,1077,10,25,345,33,2,0,438,23,158,481,702,Wake,482446,442867,39579
27,1072,BLINN COLLEGE,PUBLIC,TX,77833,1650.9522333637192,44860,2 Year,8103.0,3540,10050,,,,18850,75,425,1694,3667,19,177,6414,534,272,11987,9790,Washington,15581,14453,1128
28,235,SAINT MICHAEL'S COLLEGE,PRIVATE,VT,5439,3063.90684624018,-,4 Year,12220.0,45375,45375,52900.0,98500.0,18.0,2618,5,43,51,98,1,123,241,43,13,2241,1544,Chittenden,94608,89890,4718
29,2,NORTH CAROLINA CENTRAL UNIVERSITY,PUBLIC,NC,27707,2232.0,45656,4 Year,8909.0,6348,19055,,,,7687,39,96,5843,221,2,46,6468,267,291,882,5127,Durham,143974,132237,11737
30,3394,KENNESAW STATE UNIVERSITY,PUBLIC,GA,30144,2575.629967804929,61665,4 Year,11467.0,7432,21158,52500.0,94600.0,22.0,25714,60,861,4845,1862,39,548,8685,1018,773,15708,14933,Cobb,381245,345298,35947
31,2535,CALIFORNIA BAPTIST UNIVERSITY,PRIVATE,CA,92504,3123.881494057725,56402,4 Year,12160.0,33478,33478,,,,7957,57,398,665,2524,73,175,4078,361,454,3250,5203,Riverside,977784,839147,138637
32,125,AMERICAN ACADEMY OF ART,PROPRIETARY,IL,60604,2908.795804195804,103720,4 Year,,34100,34100,,,,365,0,23,36,83,2,1,159,15,0,205,215,Cook,2640576,2350480,290096
33,1755,COLLEGE OF SOUTHERN NEVADA,PUBLIC,NV,89146,1822.6429334758216,46883,2 Year,,3458,10370,,,,35943,231,3385,4240,9534,653,402,19755,1712,2875,12911,20061,Clark,984712,846856,137856
34,361,CLARKSON COLLEGE,PRIVATE,NE,68131,2418.4449378330373,27326,4 Year,5398.0,16920,16920,50900.0,91500.0,0.0,1221,7,29,53,36,2,0,146,19,124,951,1072,Douglas,278916,264380,14536
35,150,WEST VIRGINIA WESLEYAN COLLEGE,PRIVATE,WV,26201,2192.612258064516,39809,4 Year,8856.0,31640,31640,47000.0,85200.0,21.0,1511,5,3,122,27,3,72,203,43,31,1205,847,Upshur,10356,9396,960
36,297,NEBRASKA WESLEYAN UNIVERSITY,PRIVATE,NE,68504,2523.8949891067537,36165,4 Year,9622.0,34202,34202,45700.0,80500.0,8.0,2083,6,38,60,92,2,43,228,30,110,1702,1329,Lancaster,162326,155360,6966
37,313,LIVINGSTONE COLLEGE,PRIVATE,NC,28144,2026.3130434782609,35515,4 Year,6794.0,18297,18297,,,,1301,7,2,1142,13,0,0,1164,0,133,4,612,Rowan,64538,55548,8990
38,1749,WESTERN ILLINOIS UNIVERSITY,PUBLIC,IL,61455,2050.911791674308,30223,4 Year,9630.0,11267,11267,,,,11458,16,109,1897,983,10,511,3263,248,341,7343,5846,McDonough,15611,14270,1341
39,222,LINCOLN CHRISTIAN UNIVERSITY,PRIVATE,IL,62656,2435.203237410072,47086,4 Year,7564.0,13200,13200,,,,940,11,23,81,28,1,29,158,14,2,751,430,Logan,13912,12688,1224
40,904,NORTH IDAHO COLLEGE,PUBLIC,ID,83814,1833.4961349262123,42772,2 Year,7500.0,4245,10815,,,,5768,179,63,61,259,35,0,597,0,507,4664,3483,Kootenai,68944,61560,7384
41,2205,BELLEVUE UNIVERSITY,PRIVATE,NE,68005,2587.8691151919866,54121,4 Year,8730.0,9390,9390,49400.0,84800.0,23.0,9879,49,214,1168,676,30,290,2348,211,1601,5640,5254,Sarpy,84801,80959,3842
42,512,CROWDER COLLEGE,PUBLIC,MO,64850,1622.1412358133668,41033,2 Year,5564.0,3540,5040,,,,5710,116,82,76,439,20,59,860,127,65,4726,3673,Newton,28636,26083,2553
43,93,RESURRECTION UNIVERSITY,PRIVATE,IL,60302,3004.253644314869,71241,4 Year,,26390,26390,,,,508,3,78,50,101,4,1,264,28,59,184,421,Cook,2640576,2350480,290096
44,101,FOOTHILL COLLEGE,PUBLIC,CA,94022,1712.3196721311476,156526,2 Year,,1499,9419,,,,15030,29,3555,601,3437,103,1238,8513,788,268,5011,7331,Santa Clara,926868,828008,98860
45,54,CANADA COLLEGE,PUBLIC,CA,94061,1922.4123711340203,74097,2 Year,,1440,8670,,,,6498,14,726,232,3302,104,109,4591,213,157,1641,4107,San Mateo,392869,359249,33620
46,276,OKLAHOMA WESLEYAN UNIVERSITY,PRIVATE,OK,74006,2357.890052356021,56489,4 Year,8644.0,26956,26956,43300.0,78700.0,1.0,1345,97,5,88,96,3,76,344,55,40,885,848,Washington,24109,22554,1555
47,90,COLBY COMMUNITY COLLEGE,PUBLIC,KS,67701,1788.294217687075,43542,2 Year,3704.0,3616,5504,,,,1508,0,32,80,58,1,34,171,0,230,1073,967,Thomas,4544,4367,177
48,106,PITTSBURGH INSTITUTE OF AERONAUTICS,PRIVATE,PA,15122,1662.8848039215686,43998,2 Year,,15990,15990,,,,382,2,6,23,8,4,0,56,13,12,314,20,Allegheny,634199,587635,46564
49,9,COLBY COLLEGE,PRIVATE,ME,4901,3314.0944206008585,38669,4 Year,14190.0,55210,55210,59200.0,103300.0,25.0,1847,3,103,56,113,0,196,373,98,168,1110,978,Kennebec,63150,58167,4983
50,1084,CLARK ATLANTA UNIVERSITY,PRIVATE,GA,30314,3292.9502172126336,22400,4 Year,9524.0,23436,23436,46300.0,81100.0,15.0,3485,14,14,2930,14,0,127,2972,0,380,6,2573,Fulton,486278,434852,51426
51,233,NORTHWESTERN HEALTH SCIENCES UNIVERSITY,PRIVATE,MN,55431,2686.232323232324,62239,4 Year,,13380,13380,,,,879,2,44,9,20,0,23,83,8,24,749,435,Hennepin,651084,605608,45476
52,438,MINERAL AREA COLLEGE,PUBLIC,MO,63601,1697.061826432218,32317,2 Year,7420.0,3670,6430,,,,4632,28,17,118,40,2,4,205,0,209,4214,2527,St. Francois,27142,23847,3295
53,907,CLARION UNIVERSITY OF PENNSYLVANIA,PUBLIC,PA,16214,2127.0658725431804,32953,4 Year,12670.0,11175,15033,,,,5712,9,40,369,125,5,82,683,135,197,4750,3721,Clarion,19508,17564,1944
54,673,OTTERBEIN UNIVERSITY,PRIVATE,OH,43081,1720.1900576764624,67684,4 Year,11258.0,31874,31874,,,,2791,9,45,143,39,4,55,304,64,414,2018,1764,Franklin,627864,571892,55972
55,5,CRAFTON HILLS COLLEGE,PUBLIC,CA,92399,1085.0,60779,2 Year,,1425,10125,,,,5932,25,292,251,2644,17,9,3535,306,15,2373,3177,San Bernardino,891422,767935,123487
56,1,IOWA LAKES COMMUNITY COLLEGE,PUBLIC,IA,51334,3193.8,43291,2 Year,6750.0,6058,6388,,,,2340,14,26,95,122,3,25,268,8,50,1997,1239,Emmet,5857,5437,420
57,213,COLUMBIA INTERNATIONAL UNIVERSITY,PRIVATE,SC,29203,3309.7267987486966,31097,4 Year,8150.0,23690,23690,36600.0,66200.0,0.0,1103,3,34,198,28,0,60,283,20,38,722,533,Richland,186378,168729,17649
58,14,LOS MEDANOS COLLEGE,PUBLIC,CA,94565,2070.566037735849,55614,2 Year,,1390,9160,,,,8695,11,799,1366,3250,54,34,6131,651,105,2425,4641,Contra Costa,525745,466727,59018
59,173,MISSOURI WESTERN STATE UNIVERSITY,PUBLIC,MO,64507,2037.7938319572609,41596,4 Year,,6466,14137,43400.0,77700.0,14.0,5834,29,74,600,60,12,118,938,163,192,4586,3391,Buchanan,46465,42236,4229
60,0,LESLEY UNIVERSITY,PRIVATE,MA,2138,6020.0,73258,4 Year,16230.0,28770,28770,,,,4859,18,124,287,287,7,114,848,125,698,3199,3977,Middlesex,825858,770355,55503
61,576,AMERICAN INTERNATIONAL COLLEGE,PRIVATE,MA,1109,3111.5460015041363,34671,4 Year,14300.0,35680,35680,,,,3629,11,58,491,216,12,7,886,98,412,2324,2530,Hampden,220874,198838,22036
62,1,CERRO COSO COMMUNITY COLLEGE,PUBLIC,CA,93555,5993.5,60530,2 Year,,1382,7802,,,,4731,77,152,202,1824,8,3,2517,254,16,2195,2856,Kern,372229,312566,59663
63,51,UNIVERSITY OF KENTUCKY,PUBLIC,KY,40506,6853.8974789915965,-,4 Year,12982.0,12245,29099,51700.0,96400.0,19.0,29203,55,807,1989,1031,26,1751,4678,770,997,21777,15420,Fayette,164103,151818,12285
64,277,PACIFIC UNIVERSITY,PRIVATE,OR,97116,3666.892232330301,52117,4 Year,12528.0,44298,44298,50200.0,94000.0,8.0,3640,24,507,58,288,56,137,1200,267,217,2086,2307,Washington,290691,264444,26247
65,2064,"STATE COLLEGE OF FLORIDA, MANATEE-SARASOTA",PUBLIC,FL,34207,1774.1935310936385,31038,2 Year,,3074,11596,,,,10314,26,255,919,1422,6,150,2833,205,467,6864,6359,Manatee,146334,130121,16213
66,192,HILBERT COLLEGE,PRIVATE,NY,14075,2265.208888888889,62614,4 Year,9350.0,22400,22400,,,,1012,17,2,86,24,1,9,172,42,85,746,575,Erie,466015,426603,39412
67,89,YOUNG HARRIS COLLEGE,PRIVATE,GA,30582,2161.0318559556786,50038,4 Year,12372.0,29117,29117,,,,1218,3,10,75,49,4,89,163,22,34,932,701,Towns,4355,3788,567
68,163,WOR-WIC COMMUNITY COLLEGE,PUBLIC,MD,21804,1402.844135802469,49534,2 Year,,4050,9630,,,,3104,10,55,661,114,3,13,960,117,70,2061,1978,Wicomico,50451,45440,5011
69,651,TERRA STATE COMMUNITY COLLEGE,PUBLIC,OH,43420,1604.077030812325,45054,2 Year,,4824,8952,,,,2603,14,9,99,232,0,9,386,32,46,2162,1458,Sandusky,33253,29663,3590
70,357,WAYNE STATE COLLEGE,PUBLIC,NE,68787,1996.2165912518851,46451,4 Year,7668.0,6989,12299,40600.0,73400.0,11.0,3470,25,19,95,229,2,18,425,55,293,2734,1990,Wayne,5662,5443,219
71,2715,HINDS COMMUNITY COLLEGE,PUBLIC,MS,39154,1190.8872896817352,59725,2 Year,4120.0,3130,6170,,,,11839,39,91,6598,199,5,103,7168,236,173,4395,7396,Hinds,114138,103236,10902
72,1468,SOMERSET COMMUNITY COLLEGE,PUBLIC,KY,42501,1403.622695755116,27490,2 Year,,5310,18000,,,,6995,23,24,57,79,5,12,275,87,91,6617,4237,Pulaski,27921,24934,2987
73,142,BLUE MOUNTAIN COLLEGE,PRIVATE,MS,38610,2202.2628336755647,45088,4 Year,6294.0,12584,12584,,,,544,1,5,56,10,0,7,74,2,1,462,330,Union,12159,10870,1289
74,199,SALEM COLLEGE,PRIVATE,NC,27101,2285.536723163842,24613,4 Year,11850.0,29416,29416,,,,1118,4,31,280,115,0,9,459,29,40,610,1062,Forsyth,173644,156216,17428
75,843,SAN ANTONIO COLLEGE,PUBLIC,TX,78212,1718.6506887052342,34523,2 Year,,2720,13730,,,,21280,63,602,1341,12506,33,98,15212,667,21,5949,12450,Bexar,813648,754040,59608
76,2684,TRIDENT TECHNICAL COLLEGE,PUBLIC,SC,29423,1776.6336074507085,-,2 Year,,5584,10444,,,,16136,97,282,4917,752,46,0,6469,375,293,9374,9926,Charleston,180349,164252,16097
77,222,NORTH CENTRAL MICHIGAN COLLEGE,PUBLIC,MI,49770,1660.299107142857,50854,2 Year,6300.0,3570,7710,,,,2581,109,14,15,50,6,1,242,48,154,2184,1597,Emmet,18319,15752,2567
78,177,NEW MEXICO JUNIOR COLLEGE,PUBLIC,NM,88240,1536.8047493403694,43901,2 Year,4350.0,1452,2196,,,,3332,26,24,247,1488,6,18,1815,24,151,1348,1947,Lea,26101,24123,1978
79,394,WHEELING JESUIT UNIVERSITY,PRIVATE,WV,26003,2405.1757209926222,40206,4 Year,9900.0,29290,29290,44800.0,83400.0,5.0,1575,4,19,70,31,2,46,151,25,140,1238,889,Ohio,21796,20065,1731
80,94,GOGEBIC COMMUNITY COLLEGE,PUBLIC,MI,49938,1335.346902654867,33923,2 Year,5600.0,4924,7373,,,,1119,38,5,20,6,0,0,69,0,123,927,686,Gogebic,7154,6245,909
81,455,UNIVERSITY OF THE INCARNATE WORD,PRIVATE,TX,78209,2357.501397081652,62294,4 Year,12716.0,31484,31484,,,,8745,26,360,679,4715,17,482,5885,88,479,1899,5347,Bexar,813648,754040,59608
82,96,EUREKA COLLEGE,PRIVATE,IL,61530,2488.106134371957,55261,4 Year,9620.0,25390,25390,,,,664,2,5,35,15,3,5,79,19,23,557,374,Woodford,20285,18719,1566
83,37,BARD COLLEGE AT SIMON'S ROCK,PRIVATE,MA,1230,3314.073891625616,49444,4 Year,14916.0,55732,55732,,,,329,1,19,18,8,1,49,70,23,39,171,194,Berkshire,67602,61862,5740
84,3808,AUSTIN COMMUNITY COLLEGE,PUBLIC,TX,78752,1624.0716887928372,33173,2 Year,,2550,13020,,,,40949,335,1955,2991,12388,77,1303,18878,1132,2064,18704,22778,Travis,576411,537174,39237
85,3502,PORTLAND STATE UNIVERSITY,PUBLIC,OR,97201,2121.919081422864,38271,4 Year,10428.0,9105,27060,50800.0,90500.0,16.0,27696,376,2024,886,2664,164,2329,7428,1314,1446,16493,14811,Multnomah,420658,379568,41090
86,1,FASHION INSTITUTE OF TECHNOLOGY,PUBLIC,NY,10001,5905.545454545455,67795,4 Year,14480.0,5740,15520,,,,9764,16,984,939,1573,27,1211,3871,332,158,4524,8266,New York,887865,811259,76606
87,532,BLACK RIVER TECHNICAL COLLEGE,PUBLIC,AR,72455,1121.6115384615384,34776,2 Year,,3660,6510,,,,1963,9,2,49,24,0,0,90,6,0,1873,1281,Randolph,7246,6530,716
88,81,OUACHITA BAPTIST UNIVERSITY,PRIVATE,AR,71998,2296.653079710145,"2,500-",4 Year,7880.0,26790,26790,44100.0,80200.0,18.0,1501,11,13,129,58,1,37,212,0,1,1251,769,Clark,10366,9526,840
89,15,HOBE SOUND BIBLE COLLEGE,PRIVATE,FL,33455,2702.095238095238,51582,4 Year,6170.0,6490,6490,,,,251,0,0,24,7,0,4,31,0,38,178,115,Martin,66056,59186,6870
90,258,LONG ISLAND BUSINESS INSTITUTE,PROPRIETARY,NY,11725,1744.7259259259258,107345,2 Year,,9846,9846,,,,397,0,172,46,47,0,41,266,1,3,87,278,Suffolk,778551,716989,61562
91,510,COLLEGE OF THE CANYONS,PUBLIC,CA,91355,2143.17118226601,86721,2 Year,,1154,7034,,,,17148,35,1465,778,7686,29,224,10768,775,69,6087,8745,Los Angeles,4940672,4318722,621950
92,386,NORTHWEST NAZARENE UNIVERSITY,PRIVATE,ID,83686,2480.059030492572,50517,4 Year,7400.0,29300,29300,46200.0,80600.0,7.0,2249,14,27,37,175,9,53,306,44,136,1754,1313,Canyon,84900,75463,9437
93,801,SOUTHEAST TECHNICAL INSTITUTE,PUBLIC,SD,57107,2098.698678698034,53735,2 Year,,7200,7200,,,,2332,44,33,86,88,2,0,305,52,92,1935,1251,Minnehaha,99686,94792,4894
94,1335,CAMBRIDGE COLLEGE,PRIVATE,MA,2138,2817.938260056127,73258,4 Year,,13040,13040,,,,2841,3,78,804,626,4,254,1538,23,169,880,1982,Middlesex,825858,770355,55503
95,1423,NAVARRO COLLEGE,PUBLIC,TX,75110,1791.654977672708,37529,2 Year,5618.0,2400,5400,,,,9999,62,74,2109,1795,21,131,4158,97,0,5710,5904,Navarro,22807,20898,1909
96,521,WEST VIRGINIA STATE UNIVERSITY,PUBLIC,WV,25112,2047.9211346633415,-,4 Year,11892.0,8167,16072,41800.0,76000.0,8.0,2884,14,10,277,14,0,25,315,0,1150,1394,1596,Kanawha,92476,85647,6829
97,352,HUNTINGDON COLLEGE,PRIVATE,AL,36106,2323.4849420849423,59357,4 Year,9750.0,27400,27400,42400.0,78900.0,14.0,1160,14,9,229,29,2,8,313,30,101,738,572,Montgomery,108868,98105,10763
98,507,SIERRA COLLEGE,PUBLIC,CA,95677,2198.4499417927823,69983,2 Year,11063.0,1430,9010,,,,18565,105,869,499,4791,59,190,7302,979,168,10905,10018,Placer,173433,152847,20586
99,561,EASTERN OREGON UNIVERSITY,PUBLIC,OR,97850,1719.0718562874251,39364,4 Year,10040.0,8679,20739,44000.0,73900.0,5.0,3653,83,77,99,229,36,50,571,47,255,2777,2341,Union,12534,11228,1306
100,376,COASTAL BEND COLLEGE,PUBLIC,TX,78102,1540.7412898443292,39155,2 Year,5100.0,2646,4956,,,,3759,48,22,83,2174,3,112,2482,152,91,1074,2342,Bee,10543,9592,951
101,1089,SALEM STATE UNIVERSITY,PUBLIC,MA,1970,2244.691467221644,56203,4 Year,12722.0,10884,17024,,,,9267,15,278,697,976,3,402,2145,176,347,6373,5853,Essex,392060,358956,33104
102,673,NORTHERN OKLAHOMA COLLEGE,PUBLIC,OK,74653,1805.727704678363,41286,2 Year,7080.0,4170,10755,,,,4766,569,63,265,267,0,90,1165,1,0,3511,2754,Kay,20887,19034,1853
103,454,ORANGE COUNTY COMMUNITY COLLEGE,PUBLIC,NY,10940,1947.759429622815,60280,2 Year,,5288,9974,,,,6951,25,188,731,1721,9,4,2841,167,321,3785,4043,Orange,181433,166688,14745
104,14,GRACE BIBLE COLLEGE,PRIVATE,MI,49509,2227.242553191489,41648,4 Year,7700.0,19950,19950,,,,700,10,4,149,27,1,2,224,33,13,461,358,Kent,313539,282588,30951
105,752,SOUTHWESTERN ILLINOIS COLLEGE,PUBLIC,IL,62221,1220.4579124579125,56737,2 Year,,3660,15870,,,,10545,27,128,2273,529,20,2,3504,527,419,6620,5884,St. Clair,132854,119089,13765
106,157,ALLEN UNIVERSITY,PRIVATE,SC,29204,2185.523510971787,32479,4 Year,7230.0,13340,13340,,,,660,0,1,652,4,0,0,657,0,0,3,371,Richland,186378,168729,17649
107,121,DANVILLE AREA COMMUNITY COLLEGE,PUBLIC,IL,61832,1248.7729831144466,34735,2 Year,,4650,7950,,,,3207,14,40,426,148,5,1,657,24,250,2299,1726,Vermilion,37725,33348,4377
108,98,BAPTIST BIBLE COLLEGE,PRIVATE,MO,65803,1592.7533432392274,34580,4 Year,7500.0,14150,14150,,,,373,6,5,14,16,1,0,51,9,1,321,160,Greene,144128,132202,11926
109,1138,MURRAY STATE UNIVERSITY,PUBLIC,KY,42071,2477.825046904315,38388,4 Year,9190.0,9084,24540,44800.0,79900.0,9.0,11207,22,99,776,196,6,825,1270,171,175,8937,6571,Calloway,19008,17463,1545
110,1185,UNIVERSITY OF WEST ALABAMA,PUBLIC,AL,35470,2245.1700285442435,24151,4 Year,8116.0,10040,18490,42700.0,76100.0,4.0,3989,18,6,1769,59,2,141,1893,39,184,1771,2801,Sumter,5774,5018,756
111,1,PASADENA CITY COLLEGE,PUBLIC,CA,91106,4901.625,65424,2 Year,,1440,9180,,,,26611,28,6150,1200,12963,33,988,22897,2523,266,2460,13849,Los Angeles,4940672,4318722,621950
112,270,DICKINSON STATE UNIVERSITY,PUBLIC,ND,58601,2208.781487990627,56166,4 Year,6898.0,6765,9544,46400.0,81200.0,8.0,1479,14,9,60,66,4,80,191,38,41,1167,888,Stark,14576,14180,396
113,2022,ANOKA-RAMSEY COMMUNITY COLLEGE,PUBLIC,MN,55433,2056.5440579198303,56725,2 Year,,5073,5073,,,,7877,34,342,591,321,12,34,1628,328,72,6143,4845,Anoka,187507,172432,15075
114,1,ROCHESTER COLLEGE,PRIVATE,MI,48307,2794.25,66640,4 Year,7376.0,24218,24218,,,,1113,1,10,159,22,64,36,279,23,255,543,659,Oakland,617349,547238,70111
115,5,ALLEGHENY WESLEYAN COLLEGE,PRIVATE,OH,44460,1790.0,43774,4 Year,4000.0,6400,6400,,,,62,0,1,0,0,0,0,1,0,0,61,37,Columbiana,52957,46274,6683
116,52,MANHATTAN CHRISTIAN COLLEGE,PRIVATE,KS,66502,2060.779369627507,35825,4 Year,9092.0,15850,15850,39400.0,72200.0,0.0,311,5,1,8,9,0,15,26,3,34,236,147,Riley,36098,34319,1779
117,224,EASTERN NAZARENE COLLEGE,PRIVATE,MA,2170,2717.368960468521,63552,4 Year,9624.0,25598,25598,,,,1211,6,20,262,145,3,30,473,37,30,678,834,Norfolk,358241,332356,25885
118,1696,PARK UNIVERSITY,PRIVATE,MO,64152,1290.1513891513891,79291,4 Year,8200.0,12650,12650,48500.0,85000.0,7.0,10792,80,267,2014,1337,48,146,4053,307,0,6593,5158,Platte,51366,47425,3941
119,218,NORTHWEST FLORIDA STATE COLLEGE,PUBLIC,FL,32578,1583.020202020202,72009,2 Year,,3324,11634,,,,6295,29,167,533,500,20,34,1522,273,191,4548,3647,Okaloosa,88348,81155,7193
120,575,RANKEN TECHNICAL COLLEGE,PRIVATE,MO,63113,2018.8641843971632,24404,2 Year,,14392,14392,,,,1851,8,9,418,38,5,0,500,22,37,1314,102,St. Louis,532792,485674,47118
121,160,MOUNT CARMEL COLLEGE OF NURSING,PRIVATE,OH,43222,2435.7020316027088,21784,4 Year,5000.0,13907,13907,56600.0,99700.0,0.0,1084,4,15,64,20,2,0,129,24,15,940,980,Franklin,627864,571892,55972
122,1393,UNIVERSITY OF MARY,PRIVATE,ND,58504,1724.3026341088253,53056,4 Year,6890.0,18720,18720,46400.0,79100.0,3.0,2809,49,32,77,84,5,47,290,43,211,2261,1837,Burleigh,46427,44784,1643
